epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1627848916759,2021-08-01T16:15:16.759,3.010,-17.988,35.610,-48.963
1627848916769,2021-08-01T16:15:16.769,3.020,-12.500,39.268,-46.768
1627848916779,2021-08-01T16:15:16.779,3.030,-7.744,42.073,-45.610
1627848916789,2021-08-01T16:15:16.789,3.040,-1.646,42.805,-45.488
1627848916799,2021-08-01T16:15:16.799,3.050,8.415,42.561,-46.280
1627848916809,2021-08-01T16:15:16.809,3.060,19.695,41.463,-45.549
1627848916819,2021-08-01T16:15:16.819,3.070,34.756,39.512,-46.098
1627848916829,2021-08-01T16:15:16.829,3.080,45.549,36.402,-42.805
1627848916839,2021-08-01T16:15:16.839,3.090,55.793,32.622,-41.707
1627848916849,2021-08-01T16:15:16.849,3.100,56.220,27.256,-37.073
1627848916859,2021-08-01T16:15:16.859,3.110,39.329,16.159,-36.220
1627848916869,2021-08-01T16:15:16.869,3.120,18.780,2.683,-50.488
1627848916879,2021-08-01T16:15:16.879,3.130,-1.220,-2.012,-62.256
1627848916889,2021-08-01T16:15:16.889,3.140,-11.159,4.207,-70.183
1627848916899,2021-08-01T16:15:16.899,3.150,-11.402,11.159,-77.073
1627848916909,2021-08-01T16:15:16.909,3.160,-16.402,16.646,-81.037
1627848916919,2021-08-01T16:15:16.919,3.170,-21.280,20.122,-88.049
1627848916929,2021-08-01T16:15:16.929,3.180,-23.659,20.732,-90.488
1627848916939,2021-08-01T16:15:16.939,3.190,-8.415,21.341,-89.146
1627848916949,2021-08-01T16:15:16.949,3.200,10.183,19.451,-69.634
1627848916959,2021-08-01T16:15:16.959,3.210,19.085,18.415,-62.866
1627848916969,2021-08-01T16:15:16.969,3.220,24.939,14.085,-73.598
1627848916979,2021-08-01T16:15:16.979,3.230,23.354,1.829,-75.854
1627848916989,2021-08-01T16:15:16.989,3.240,25.732,-2.012,-93.659
1627848916999,2021-08-01T16:15:16.999,3.250,23.476,-0.976,-106.341
1627848917009,2021-08-01T16:15:17.009,3.260,22.439,-5.732,-104.573
1627848917019,2021-08-01T16:15:17.019,3.270,22.012,-14.634,-98.841
1627848917029,2021-08-01T16:15:17.029,3.280,19.329,-14.268,-92.927
1627848917039,2021-08-01T16:15:17.039,3.290,13.841,-13.293,-78.598
1627848917049,2021-08-01T16:15:17.049,3.300,13.659,-16.220,-63.902
1627848917059,2021-08-01T16:15:17.059,3.310,14.390,-11.463,-47.561
1627848917069,2021-08-01T16:15:17.069,3.320,13.110,-4.329,-28.537
1627848917079,2021-08-01T16:15:17.079,3.330,9.512,3.415,-5.122
1627848917089,2021-08-01T16:15:17.089,3.340,7.988,13.476,18.537
1627848917099,2021-08-01T16:15:17.099,3.350,6.341,18.476,32.988
1627848917109,2021-08-01T16:15:17.109,3.360,-6.585,17.988,42.683
1627848917119,2021-08-01T16:15:17.119,3.370,0.732,11.829,26.159
1627848917129,2021-08-01T16:15:17.129,3.380,0.122,7.500,-3.110
1627848917139,2021-08-01T16:15:17.139,3.390,-9.573,-0.976,-32.561
1627848917149,2021-08-01T16:15:17.149,3.400,-5.610,-17.927,-68.415
1627848917159,2021-08-01T16:15:17.159,3.410,-5.610,-27.439,-90.671
1627848917169,2021-08-01T16:15:17.169,3.420,-7.073,-17.988,-96.890
1627848917179,2021-08-01T16:15:17.179,3.430,-0.122,-12.256,-93.963
1627848917189,2021-08-01T16:15:17.189,3.440,7.378,-15.061,-74.756
1627848917199,2021-08-01T16:15:17.199,3.450,13.841,-9.024,-54.085
1627848917209,2021-08-01T16:15:17.209,3.460,20.305,2.073,-35.854
1627848917219,2021-08-01T16:15:17.219,3.470,27.744,6.037,-16.524
1627848917229,2021-08-01T16:15:17.229,3.480,31.463,5.427,-5.793
1627848917239,2021-08-01T16:15:17.239,3.490,31.646,10.549,1.768
1627848917249,2021-08-01T16:15:17.249,3.500,47.317,21.646,3.049
1627848917259,2021-08-01T16:15:17.259,3.510,42.744,19.695,-0.793
1627848917269,2021-08-01T16:15:17.269,3.520,47.256,18.354,-1.524
